#SampleID	TreeID	TreeSpecies	Stratum	TimePoint	X109_Peronosporales|Peronosporaceae|Peronosporaceae_Genus_NoHit|Peronosporaceae_Species_NoHit	X13_Pythiales|Pythiaceae|Pythium|Pythium_pectinolyticum	X138_Pythiales|Pythiaceae|Pythium|Pythium_pectinolyticum	X1_Peronosporales|Peronosporaceae|Peronospora|Peronospora_arborescens	X16_Peronosporales|Peronosporaceae|Peronospora|Peronospora_Species_NoHit	X31_Peronosporales|Peronosporales_Family_NoHit|Peronosporales_Genus_NoHit|Peronosporales_Species_NoHit	X128_Peronosporales|Peronosporaceae|Peronospora|Peronospora_Species_NoHit	X19_Peronosporales|Peronosporaceae|Peronospora|Peronospora_violae	X24_Peronosporales|Peronosporaceae|Peronospora|Peronospora_Species_NoHit	X2_Peronosporales|Peronosporaceae|Peronospora|Peronospora_Species_NoHit	X100_Pythiales|Pythiaceae|Pythiaceae_Genus_NoHit|Pythiaceae_Species_NoHit	X149_Peronosporales|Peronosporaceae|Peronospora|Peronospora_hiemalis	X125_Peronosporales|Peronosporaceae|Peronospora|Peronospora_Species_NoHit	X36_Peronosporales|Peronosporaceae|Peronospora|Peronospora_ervi	X4_Peronosporales|Peronosporaceae|Peronospora|Peronospora_ervi	X10_Peronosporales|Peronosporaceae|Phytophthora|Phytophthora_syringae	X23_Pythiales|Pythiaceae|Pythiaceae_Genus_NoHit|Pythiaceae_Species_NoHit	X111_Peronosporales|Peronosporaceae|Peronospora|Peronospora_ervi	X15_Peronosporales|Peronosporaceae|Pseudoperonospora|Pseudoperonospora_cubensis	X114_Peronosporales|Peronosporaceae|Peronospora|Peronospora_aparines	X12_Peronosporales|Peronosporaceae|Hyaloperonospora|Hyaloperonospora_Species_NoHit	X38_Peronosporales|Peronosporaceae|Peronospora|Peronospora_effusa	X34_Peronosporales|Peronosporaceae|Peronospora|Peronospora_cf	X14_Peronosporales|Peronosporaceae|Peronospora|Peronospora_Species_NoHit	X108_Peronosporales|Peronosporaceae|Peronospora|Peronospora_arborescens	X28_Peronosporales|Peronosporaceae|Bremia|Bremia_lactucae	X106_Peronosporales|Peronosporaceae|Peronospora|Peronospora_aparines	X25_Peronosporales|Peronosporaceae|Paraperonospora|Paraperonospora_leptosperma	X116_Peronosporales|Peronosporaceae|Hyaloperonospora|Hyaloperonospora_parasitica	X105_Peronosporales|Peronosporaceae|Peronospora|Peronospora_calotheca	X3_Peronosporales|Peronosporaceae|Peronospora|Peronospora_aparines	X121_Peronosporales|Peronosporaceae|Peronospora|Peronospora_aparines	X22_Peronosporales|Peronosporaceae|Peronospora|Peronospora_Species_NoHit	X26_Peronosporales|Peronosporaceae|Hyaloperonospora|Hyaloperonospora_parasitica	X18_Peronosporales|Peronosporaceae|Peronospora|Peronospora_farinosa	X33_Peronosporales|Peronosporaceae|Plasmopara|Plasmopara_densa	X103_Peronosporales|Peronosporaceae|Peronosporaceae_Genus_NoHit|Peronosporaceae_Species_NoHit	X118_Peronosporales|Peronosporaceae|Peronospora|Peronospora_arborescens	X11_Peronosporales|Peronosporaceae|Peronospora|Peronospora_cf	X119_Peronosporales|Peronosporaceae|Peronosporaceae_Genus_NoHit|Peronosporaceae_Species_NoHit	X32_Peronosporales|Peronosporaceae|Peronosporaceae_Genus_NoHit|Peronosporaceae_Species_NoHit	X21_Pythiales|Pythiaceae|Pythium|Pythium_apiculatum	X52_Order_NoHit|Family_NoHit|Genus_NoHit|Genus_NoHit_Species_NoHit	X27_Pythiales|Pythiaceae|Pythiaceae_Genus_NoHit|Pythiaceae_Species_NoHit	X130_Pythiales|Pythiaceae|Pythiaceae_Genus_NoHit|Pythiaceae_Species_NoHit	X40_Peronosporales|Peronosporaceae|Peronospora|Peronospora_aparines	X41_Peronosporales|Peronosporaceae|Peronospora|Peronospora_Species_NoHit	X56_Peronosporales|Peronosporaceae|Peronospora|Peronospora_aparines	X42_Peronosporales|Peronosporaceae|Peronospora|Peronospora_trigonellae	X64_Peronosporales|Peronosporaceae|Peronospora|Peronospora_Species_NoHit	X86_Peronosporales|Peronosporaceae|Phytophthora|Phytophthora_syringae	X95_Peronosporales|Peronosporaceae|Peronospora|Peronospora_Species_NoHit	X69_Peronosporales|Peronosporaceae|Peronospora|Peronospora_aparines	X93_Peronosporales|Peronosporaceae|Peronosporaceae_Genus_NoHit|Peronosporaceae_Species_NoHit	X72_Peronosporales|Peronosporaceae|Peronospora|Peronospora_Species_NoHit	X82_Peronosporales|Peronosporaceae|Peronospora|Peronospora_arborescens	X84_Pythiales|Pythiales_Family_NoHit|Pythiales_Genus_NoHit|Pythiales_Species_NoHit	X6_Peronosporales|Peronosporaceae|Peronosporaceae_Genus_NoHit|Peronosporaceae_Species_NoHit	X98_Peronosporales|Peronosporaceae|Peronospora|Peronospora_ervi	X9_Peronosporales|Peronosporaceae|Hyaloperonospora|Hyaloperonospora_sisymbrii-sophiae	X65_Peronosporales|Peronosporaceae|Peronospora|Peronospora_aparines	X43_Peronosporales|Peronosporaceae|Peronospora|Peronospora_aparines	X51_Albuginales|Albuginaceae|Albugo|Albugo_candida	X77_Peronosporales|Peronosporaceae|Peronosporaceae_Genus_NoHit|Peronosporaceae_Species_NoHit	X73_Pythiales|Pythiaceae|Globisporangium|Globisporangium_intermedium	X83_Peronosporales|Peronosporaceae|Peronospora|Peronospora_aparines	X54_Peronosporales|Peronosporaceae|Peronospora|Peronospora_corydalis	X50_Peronosporales|Peronosporaceae|Peronospora|Peronospora_Species_NoHit	X89_Peronosporales|Peronosporaceae|Peronospora|Peronospora_Species_NoHit	X46_Peronosporales|Peronosporaceae|Peronospora|Peronospora_aparines	X96_Peronosporales|Peronosporaceae|Peronospora|Peronospora_aparines	X85_Peronosporales|Peronosporaceae|Peronospora|Peronospora_Species_NoHit	X76_Peronosporales|Peronosporaceae|Peronospora|Peronospora_Species_NoHit	X5_Peronosporales|Peronosporaceae|Peronosporaceae_Genus_NoHit|Peronosporaceae_Species_NoHit	X80_Peronosporales|Peronosporaceae|Peronospora|Peronospora_calotheca	X61_Peronosporales|Peronosporaceae|Peronospora|Peronospora_ervi	X68_Peronosporales|Peronosporaceae|Peronospora|Peronospora_Species_NoHit	X7_Peronosporales|Peronosporaceae|Hyaloperonospora|Hyaloperonospora_parasitica	X8_Peronosporales|Peronosporaceae|Peronospora|Peronospora_Species_NoHit	X59_Pythiales|Pythiaceae|Pythiaceae_Genus_NoHit|Pythiaceae_Species_NoHit	X53_Pythiales|Pythiaceae|Pythium|Pythium_Species_NoHit
Crane_C_May	Kcrane	Crane	Canopy	May	0.0	1687.0	22.0	1.0	31944.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	97.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Crane_G_Mar	Kcrane	Crane	Ground	March	0.0	5.0	2.0	497.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	72.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73782.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Crane_G_May	Kcrane	Crane	Ground	May	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	3970.0	0.0	0.0	0.0	0.0	50.0	0.0	5535.0	0.0	396.0	0.0	4106.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	17081.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	7330.0	0.0	0.0	0.0	0.0	0.0	136.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	84.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	11.0	0.0	0.0	5.0	3082.0	13.0	0.0	0.0	0.0	0.0	241.0	0.0
K129_C_May	K129	Oak	Canopy	May	0.0	0.0	0.0	217.0	0.0	0.0	1.0	17551.0	0.0	266.0	0.0	0.0	0.0	12.0	44483.0	0.0	0.0	19.0	0.0	1.0	0.0	0.0	0.0	34.0	1.0	0.0	0.0	8.0	0.0	0.0	251.0	0.0	9.0	0.0	12.0	11.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	1.0	1.0	337.0	1.0	15.0	1.0	0.0	0.0	0.0	0.0
K129_G_May	K129	Oak	Ground	May	0.0	0.0	0.0	261.0	1.0	0.0	5.0	32.0	0.0	5358.0	0.0	0.0	0.0	338.0	7304.0	0.0	0.0	3.0	0.0	48.0	0.0	0.0	1.0	4925.0	0.0	0.0	29.0	5355.0	0.0	48.0	34827.0	15.0	12.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	298.0	3.0	112.0	0.0	46.0	0.0	17.0	46.0	2.0	0.0	0.0	0.0	1.0	38.0	0.0	80.0	104.0	0.0	1.0	0.0	27.0	0.0	59.0	3.0	167.0	54.0	18.0	18.0	0.0	45.0	104.0	55.0	0.0	98.0	0.0	0.0
K232_C_Mar	K232	Ash	Canopy	March	0.0	6.0	3.0	85490.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	197.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K232_C_May	K232	Ash	Canopy	May	0.0	1.0	0.0	5.0	0.0	3.0	36.0	178.0	0.0	42692.0	0.0	0.0	0.0	231.0	7016.0	0.0	0.0	8.0	6.0	0.0	57.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	152.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	82.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	26.0	0.0	0.0	0.0	0.0	4.0	411.0	2.0	2.0	1.0	109.0	106.0	3.0	5.0	79.0	0.0	412.0	0.0	0.0	0.0
K232_G_Mar	K232	Ash	Ground	March	0.0	1.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87667.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
